"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.08.2023","1.897,00","1.895,09","1.905,05","1.888,60","","0,16%"
"21.08.2023","1.893,94","1.889,40","1.899,05","1.884,50","","0,30%"
"18.08.2023","1.888,19","1.889,49","1.897,44","1.886,20","","-0,04%"
"17.08.2023","1.888,89","1.892,20","1.903,90","1.884,50","","-0,15%"
"16.08.2023","1.891,76","1.901,59","1.907,90","1.891,30","","-0,52%"
"15.08.2023","1.901,56","1.907,40","1.912,19","1.896,15","","-0,33%"
"14.08.2023","1.907,90","1.913,67","1.916,55","1.902,20","","-0,28%"
"11.08.2023","1.913,32","1.912,65","1.921,15","1.910,94","","0,07%"
"10.08.2023","1.912,06","1.914,94","1.930,11","1.911,73","","-0,13%"
"09.08.2023","1.914,59","1.925,16","1.932,48","1.914,05","","-0,53%"
"08.08.2023","1.924,82","1.936,76","1.938,15","1.922,50","","-0,60%"
"07.08.2023","1.936,39","1.942,59","1.946,81","1.931,53","","-0,27%"
"04.08.2023","1.941,62","1.934,12","1.947,19","1.929,75","","0,41%"
"03.08.2023","1.933,74","1.934,66","1.939,03","1.929,55","","0,01%"
"02.08.2023","1.933,56","1.945,74","1.955,40","1.933,00","","-0,54%"
"01.08.2023","1.944,08","1.965,10","1.966,24","1.941,20","","-1,02%"
"31.07.2023","1.964,19","1.959,49","1.972,44","1.951,00","","0,25%"
"28.07.2023","1.959,20","1.944,27","1.963,71","1.944,27","","0,73%"
"27.07.2023","1.944,99","1.972,08","1.982,24","1.942,61","","-1,38%"
"26.07.2023","1.972,10","1.964,99","1.978,31","1.961,99","","0,38%"
"25.07.2023","1.964,58","1.955,20","1.966,03","1.953,21","","0,52%"
"24.07.2023","1.954,51","1.962,09","1.967,97","1.953,42","","-0,29%"
"21.07.2023","1.960,23","1.969,99","1.973,89","1.956,82","","-0,48%"
"20.07.2023","1.969,62","1.976,80","1.987,59","1.965,40","","-0,36%"
"19.07.2023","1.976,74","1.978,97","1.981,05","1.969,75","","-0,10%"
