Date,Open,High,Low,Close,Adj Close,Volume
2022-10-06,90.489998,92.639999,89.809998,90.169998,89.045723,9951900
2022-10-07,88.540001,88.760002,86.690002,87.160004,86.073257,8554700
2022-10-10,87.760002,87.779999,85.070000,86.690002,85.609116,7991200
2022-10-11,86.040001,88.250000,85.750000,87.989998,86.892914,11903200
2022-10-12,88.000000,88.879997,87.309998,88.510002,87.406425,8772900
2022-10-13,86.389999,89.809998,86.050003,89.559998,88.443329,9335000
2022-10-14,90.510002,90.879997,87.489998,87.550003,86.458405,7811700
2022-10-17,89.529999,90.690002,88.699997,89.970001,88.848221,8451900
2022-10-18,92.599998,92.910004,89.150002,89.680000,88.561836,7364700
2022-10-19,88.260002,89.739998,87.760002,88.570000,87.465675,5102000
2022-10-20,89.470001,90.580002,86.610001,86.830002,85.747368,13500000
2022-10-21,87.019997,88.779999,86.709999,88.500000,87.396553,7976300
2022-10-24,87.790001,88.839996,86.239998,88.010002,86.912659,8847100
2022-10-25,88.029999,91.930000,87.889999,91.720001,90.576401,8639900
2022-10-26,90.779999,94.349998,90.699997,92.389999,91.238045,8648200
2022-10-27,92.879997,93.480003,90.220001,90.540001,89.411110,8617900
2022-10-28,91.199997,93.879997,90.459999,93.830002,92.660088,6022400
2022-10-31,93.000000,93.889999,92.680000,92.680000,91.524429,6426400
2022-11-01,95.690002,96.459999,92.970001,93.769997,92.600838,7250700
2022-11-02,93.129997,94.440002,90.190002,90.300003,89.174110,7176600
2022-11-03,89.970001,91.610001,88.720001,90.400002,89.272850,6550300
2022-11-04,94.449997,98.230003,93.949997,95.790001,94.595650,12543300
2022-11-07,96.309998,96.870003,92.669998,93.440002,92.274963,9094500
2022-11-08,94.440002,96.029999,92.940002,93.750000,92.581085,7017800
2022-11-09,92.669998,93.900002,91.959999,92.099998,90.951660,6550900
2022-11-10,96.330002,99.680000,96.230003,99.489998,98.249512,9361000
2022-11-11,100.309998,107.209999,100.139999,106.089996,104.767227,12597500
2022-11-14,105.199997,106.440002,104.320000,104.389999,103.088432,7134900
2022-11-15,107.989998,109.309998,105.529999,106.709999,105.379494,7242900
2022-11-16,105.250000,106.599998,104.769997,105.230003,103.917961,5998700
2022-11-17,104.110001,105.400002,102.919998,105.360001,104.046333,5252900
2022-11-18,107.629997,107.720001,104.169998,105.419998,104.105576,5498900
2022-11-21,104.610001,105.480003,103.599998,103.830002,102.535408,4774800
2022-11-22,104.620003,106.160004,103.839996,105.970001,104.648727,5313200
2022-11-23,106.000000,106.980003,105.230003,106.650002,105.320251,3873100
2022-11-25,106.449997,107.180000,105.559998,105.959999,104.638847,3426100
2022-11-28,105.250000,106.300003,104.650002,104.959999,103.651314,6967400
2022-11-29,105.370003,106.820000,105.120003,106.250000,104.925240,8494400
2022-11-30,107.080002,109.690002,105.449997,109.690002,108.322350,16251000
2022-12-01,110.089996,111.860001,109.550003,111.110001,109.724632,7822900
2022-12-02,108.650002,112.709999,108.339996,112.199997,111.141136,5892000
2022-12-05,111.019997,111.129997,109.190002,109.620003,108.585495,6220100
2022-12-06,109.650002,110.529999,106.750000,107.930000,106.911446,7086100
2022-12-07,107.320000,109.120003,107.059998,108.330002,107.307663,5751500
2022-12-08,108.599998,111.489998,108.459999,111.360001,110.309067,6192800
2022-12-09,110.220001,111.379997,109.260002,109.419998,108.387375,5677700
2022-12-12,110.099998,112.169998,109.709999,112.070000,111.012367,6426000
2022-12-13,115.610001,116.449997,111.250000,112.849998,111.785004,8655300
2022-12-14,113.699997,114.120003,110.230003,111.449997,110.398216,7528500
2022-12-15,109.190002,109.620003,107.730003,108.510002,107.485962,7500700
2022-12-16,106.870003,107.610001,105.120003,105.949997,104.950119,14083600
2022-12-19,104.989998,105.510002,102.449997,103.050003,102.077492,10620300
2022-12-20,103.000000,103.400002,101.680000,103.209999,102.235985,17147900
2022-12-21,116.760002,119.180000,115.339996,115.779999,114.687355,32777300
2022-12-22,114.290001,116.820000,114.059998,116.709999,115.608574,17147600
2022-12-23,116.110001,117.169998,115.779999,116.250000,115.152924,6603700
2022-12-27,116.470001,118.199997,115.820000,117.559998,116.450554,6661100
2022-12-28,117.580002,118.239998,114.959999,114.980003,113.894913,5437800
2022-12-29,116.080002,118.070000,115.800003,117.349998,116.242538,4588600
2022-12-30,116.559998,117.250000,115.769997,117.010002,115.905754,4355500
2023-01-03,118.550003,119.489998,117.440002,118.750000,117.629326,8124800
2023-01-04,119.959999,122.230003,119.529999,121.209999,120.066109,8550700
2023-01-05,120.279999,122.339996,120.080002,120.620003,119.481682,6046700
2023-01-06,122.000000,125.360001,121.769997,124.529999,123.354774,10080700
2023-01-09,125.000000,126.610001,124.550003,124.849998,123.671761,9397900
2023-01-10,125.209999,126.330002,124.370003,125.839996,124.652420,5899900
2023-01-11,126.320000,128.259995,126.010002,127.940002,126.732597,6989200
2023-01-12,128.350006,128.460007,126.459999,127.889999,126.683075,8366400
2023-01-13,126.660004,129.229996,126.660004,128.850006,127.634026,4856500
2023-01-17,128.000000,129.050003,127.830002,128.139999,126.930710,6172200
2023-01-18,127.800003,128.589996,126.000000,126.430000,125.236855,6828800
2023-01-19,124.790001,125.440002,123.610001,124.529999,123.354774,5273500
2023-01-20,124.680000,126.639999,124.040001,126.620003,125.425056,5673200
2023-01-23,126.900002,128.750000,126.540001,128.289993,127.079292,5581600
2023-01-24,126.809998,128.009995,120.449997,126.830002,125.633072,5486200
2023-01-25,125.860001,127.010002,124.830002,126.820000,125.623169,5933700
2023-01-26,128.460007,128.990005,126.010002,127.529999,126.326469,5838800
2023-01-27,127.070000,128.580002,126.699997,127.529999,126.326469,5730000
2023-01-30,126.500000,127.559998,126.209999,126.370003,125.177414,6494600
2023-01-31,126.419998,127.849998,126.010002,127.330002,126.128365,7686900
2023-02-01,127.900002,130.220001,126.220001,129.500000,128.277878,6387900
2023-02-02,130.449997,131.309998,127.860001,129.059998,127.842018,5214500
2023-02-03,126.790001,129.419998,126.440002,127.610001,126.405716,4930200
2023-02-06,125.519997,126.099998,124.320000,125.730003,124.543457,4666400
2023-02-07,123.959999,125.930000,123.250000,125.330002,124.147232,5288900
2023-02-08,123.379997,124.099998,121.800003,122.910004,121.750076,5877800
